id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35143599,"Maison Etienne, luxurious short stay near Ghent",250069983,Herbert,,Sint Denijs Westrem,51.02978,3.66671,Entire home/apt,148,2,102,2025-05-04,1.40,2,314,17,
35238429,Private room in cosy apartment near city center,100147822,Barbara,,Ledeberg,51.03787,3.73625,Private room,,1,59,2024-08-11,0.81,1,0,10,
35263007,Rose House B&B - Studio,264917270,Galeh,,Sint Denijs Westrem,51.01969,3.69029,Private room,165,1,2,2022-09-28,0.06,3,341,0,
35264383,Rose House B&B - Standard Double Room,264917270,Galeh,,Sint Denijs Westrem,51.01945,3.68984,Private room,130,1,3,2023-07-30,0.07,3,329,0,
35264564,Rose House B&B - Budget Room,264917270,Galeh,,Sint Denijs Westrem,51.02088,3.68897,Private room,125,1,4,2024-06-13,0.07,3,326,0,
35410696,Prachtig ruim appartement in Gent,75272848,Sabrina,,Bloemekenswijk,51.06681,3.71126,Entire home/apt,,2,3,2021-12-23,0.04,1,0,0,
35562009,"Cosy room in   VILLA fietsafs. Gent ,  privé badk.",6976593,Hilde,,Mariakerke,51.07558,3.69193,Private room,55,7,20,2024-12-07,0.28,2,327,4,
35633932,Spacious house full of light,82259606,Griet,,Muide - Meulestede - Afrikalaan,51.0743,3.7292,Entire home/apt,140,3,26,2025-01-02,0.36,1,102,4,
35800034,50/60's vintage BelEtage near city Centre of Ghent,88314026,Samir,,Rabot  - Blaisantvest,51.06154,3.70719,Entire home/apt,,1,5,2022-04-17,0.07,1,0,0,
36126903,Your own 18th century attic in the center of Ghent,53135103,Aris,,Sluizeken - Tolhuis - Ham,51.05923,3.72071,Entire home/apt,108,1,639,2025-06-10,8.78,3,134,83,
36229418,Cosy house in the center of Gent,272490259,Stefaan,,Sluizeken - Tolhuis - Ham,51.06115,3.71624,Entire home/apt,84,2,341,2025-06-19,4.71,1,167,78,
36285608,The Blue Room - 2 guest,272913310,Ayesha,,Brugse Poort - Rooigem,51.06298065185547,3.7000319957733154,Private room,,3,37,2024-11-14,0.51,5,73,1,
36291731,"studio medieval city center at river ""de Leie""",272946154,Guido,,Binnenstad,51.05245,3.72109,Entire home/apt,79,1,447,2025-06-19,6.20,1,266,106,
36437683,The Green Room,272913310,Ayesha,,Brugse Poort - Rooigem,51.06298065185547,3.7000319957733154,Private room,49,3,104,2025-06-01,1.77,5,107,14,
36516126,ROOF TOP STUDIO MET ZICHT OP DE DRIE TORENS,1864346,,,Sluizeken - Tolhuis - Ham,51.06448,3.72685,Entire home/apt,76,4,47,2025-05-31,0.67,1,334,9,
36679101,sunny townhouse in Gent,10165213,Tom,,Watersportbaan - Ekkergem,51.05055,3.70634,Private room,83,2,126,2025-06-22,1.76,1,320,27,
36830912,"Big & artistic house-cool garden, 15´ center Ghent",20799688,Sarah,,Brugse Poort - Rooigem,51.06636,3.69732,Entire home/apt,,2,44,2024-08-26,0.66,1,0,4,
36873204,"Luxurious sunny apartment, ideal for expats!",5883895,Annelore,,Macharius - Heirnis,51.04733,3.74435,Entire home/apt,114,30,1,2024-01-06,0.06,9,21,0,
36902220,Modern apartment close to Flanders Expo,218641024,Roger,,Sint Denijs Westrem,51.03063,3.69082,Entire home/apt,100,3,174,2025-06-09,2.47,1,261,42,
36958475,Large private room on ground level in city center,20694031,Dimitri,,Elisabethbegijnhof - Papegaai,51.05643,3.71483,Private room,65,2,33,2024-09-06,0.46,2,30,1,
36998317,Big and beautiful house at Citadelpark,277634214,,,Stationsbuurt Noord,51.04055,3.71844,Entire home/apt,245,3,178,2025-06-16,2.52,3,85,40,
37078301,Loft boat 'The Panter',98220970,Nicolas,,Muide - Meulestede - Afrikalaan,51.07423,3.72875,Entire home/apt,126,2,175,2025-05-31,2.46,1,102,36,
